dictionary=main:en_us,locale=en_US,description=English (US),date=1414726260,version=54
 word=the,f=222
 word=to,f=215
 word=of,f=214
 word=and,f=212
 word=in,f=210
 word=a,f=208
 word=was,f=201
 word=is,f=200
 word=this,f=200
 word=as,f=196
 word=for,f=196
 word=I,f=196
 word=on,f=195
 word=with,f=195
 word=by,f=194
 word=that,f=192
 word=from,f=191
 word=at,f=190
 word=his,f=190
 word=an,f=187
 word=he,f=187
 word=are,f=186
 word=were,f=186
 word=don't,f=185
 word=which,f=185
 word=it,f=184
 word=or,f=184
 word=had,f=182
 word=has,f=182
 word=one,f=182
 word=but,f=181
 word=first,f=180
 word=very,f=180
 word=we,f=180
 word=not,f=179
 word=their,f=179
 word=any,f=178
 word=have,f=178
 word=who,f=178
 word=been,f=176
 word=her,f=176
 word=two,f=176
 word=get,f=175
 word=other,f=175
 word=after,f=174
 word=into,f=174
 word=they,f=174
 word=time,f=174
 word=all,f=173
 word=be,f=173
 word=me,f=173
 word=more,f=173
 word=must,f=173
 word=only,f=172
 word=per,f=172
 word=when,f=172
 word=years,f=172
 word=most,f=171
 word=over,f=171
 word=used,f=171
 word=would,f=171
 word=you,f=171
 word=can,f=170
 word=during,f=170
 word=going,f=170
 word=good,f=170
 word=him,f=170
 word=new,f=170
 word=out,f=170
 word=she,f=170
 word=such,f=170
 word=where,f=170
 word=god,f=170
 word=between,f=169
 word=made,f=169
 word=many,f=169
 word=some,f=169
 word=then,f=169
 word=there,f=169
 word=year,f=169
 word=about,f=168
 word=back,f=168
 word=became,f=168
 word=later,f=168
 word=part,f=168
 word=under,f=168
 word=well,f=168
 word=being,f=167
 word=including,f=167
 word=them,f=167
 word=through,f=167
 word=area,f=166
 word=both,f=166
 word=make,f=166
 word=name,f=166
 word=before,f=165
 word=called,f=165
 word=could,f=165
 word=fine,f=165
 word=people,f=165
 word=second,f=165
 word=until,f=165
 word=while,f=165
 word=will,f=165
 word=against,f=164
 word=age,f=164
 word=city,f=164
 word=go,f=164
 word=I'll,f=164
 word=may,f=164
 word=number,f=164
 word=population,f=164
 word=season,f=164
 word=several,f=164
 word=team,f=164
 word=these,f=164
 word=work,f=164
 word=born,f=163
 word=early,f=163
 word=family,f=163
 word=film,f=163
 word=now,f=163
 word=same,f=163
 word=series,f=163
 word=so,f=163
 word=use,f=163
 word=what,f=163
 word=album,f=162
 word=based,f=162
 word=four,f=162
 word=it's,f=162
 word=life,f=162
 word=released,f=162
 word=since,f=162
 word=state,f=162
 word=began,f=161
 word=century,f=161
 word=each,f=161
 word=end,f=161
 word=following,f=161
 word=found,f=161
 word=game,f=161
 word=high,f=161
 word=located,f=161
 word=pandemic,f=161
 word=town,f=161
 word=around,f=160
 word=because,f=160
 word=can't,f=160
 word=come,f=160
 word=day,f=160
 word=did,f=160
 word=didn't,f=160
 word=government,f=160
 word=group,f=160
 word=here,f=160
 word=home,f=160
 word=I've,f=160
 word=large,f=160
 word=like,f=160
 word=love,f=160
 word=music,f=160
 word=my,f=160
 word=named,f=160
 word=no,f=160
 word=often,f=160
 word=system,f=160
 word=that's,f=160
 word=three,f=160
 word=too,f=160
 word=up,f=160
 word=us,f=160
 word=won,f=160
 word=yes,f=160
 word=you're,f=160
 word=along,f=159
 word=built,f=159
 word=career,f=159
 word=former,f=159
 word=if,f=159
 word=include,f=159
 word=left,f=159
 word=line,f=159
 word=local,f=159
 word=long,f=159
 word=off,f=159
 word=own,f=159
 word=place,f=159
 word=small,f=159
 word=still,f=159
 word=those,f=159
 word=took,f=159
 word=band,f=158
 word=due,f=158
 word=form,f=158
 word=held,f=158
 word=its,f=158
 word=last,f=158
 word=major,f=158
 word=member,f=158
 word=members,f=158
 word=much,f=158
 word=public,f=158
 word=set,f=158
 word=show,f=158
 word=single,f=158
 word=station,f=158
 word=than,f=158
 word=within,f=158
 word=won't,f=158
 word=another,f=157
 word=company,f=157
 word=death,f=157
 word=different,f=157
 word=down,f=157
 word=even,f=157
 word=five,f=157
 word=however,f=157
 word=main,f=157
 word=original,f=157
 word=published,f=157
 word=received,f=157
 word=served,f=157
 word=we're,f=157
 word=again,f=156
 word=become,f=156
 word=best,f=156
 word=died,f=156
 word=history,f=156
 word=included,f=156
 word=just,f=156
 word=late,f=156
 word=led,f=156
 word=near,f=156
 word=old,f=156
 word=order,f=156
 word=play,f=156
 word=power,f=156
 word=said,f=156
 word=service,f=156
 word=side,f=156
 word=students,f=156
 word=third,f=156
 word=water,f=156
 word=way,f=156
 word=your,f=156
 word=among,f=155
 word=average,f=155
 word=book,f=155
 word=building,f=155
 word=came,f=155
 word=children,f=155
 word=do,f=155
 word=every,f=155
 word=few,f=155
 word=final,f=155
 word=given,f=155
 word=got,f=155
 word=km,f=155
 word=land,f=155
 word=moved,f=155
 word=national,f=155
 word=nice,f=155
 word=non,f=155
 word=period,f=155
 word=son,f=155
 word=south,f=155
 word=using,f=155
 word=various,f=155
 word=village,f=155
 word=wait,f=155
 word=went,f=155
 word=although,f=154
 word=country,f=154
 word=created,f=154
 word=established,f=154
 word=example,f=154
 word=games,f=154
 word=having,f=154
 word=law,f=154
 word=living,f=154
 word=million,f=154
 word=next,f=154
 word=point,f=154
 word=political,f=154
 word=popular,f=154
 word=present,f=154
 word=produced,f=154
 word=record,f=154
 word=six,f=154
 word=species,f=154
 word=started,f=154
 word=support,f=154
 word=take,f=154
 word=title,f=154
 word=top,f=154
 word=total,f=154
 word=version,f=154
 word=what's,f=154
 word=without,f=154
 word=written,f=154
 word=appeared,f=153
 word=club,f=153
 word=community,f=153
 word=considered,f=153
 word=continued,f=153
 word=development,f=153
 word=district,f=153
 word=father,f=153
 word=general,f=153
 word=himself,f=153
 word=important,f=153
 word=level,f=153
 word=married,f=153
 word=military,f=153
 word=player,f=153
 word=production,f=153
 word=returned,f=153
 word=right,f=153
 word=run,f=153
 word=short,f=153
 word=television,f=153
 word=term,f=153
 word=there's,f=153
 word=they're,f=153
 word=though,f=153
 word=times,f=153
 word=together,f=153
 word=yesterday,f=153
 word=amount,f=152
 word=areas,f=152
 word=available,f=152
 word=class,f=152
 word=common,f=152
 word=control,f=152
 word=days,f=152
 word=east,f=152
 word=election,f=152
 word=formed,f=152
 word=founded,f=152
 word=great,f=152
 word=half,f=152
 word=head,f=152
 word=house,f=152
 word=income,f=152
 word=language,f=152
 word=making,f=152
 word=men,f=152
 word=never,f=152
 word=others,f=152
 word=position,f=152
 word=program,f=152
 word=region,f=152
 word=result,f=152
 word=see,f=152
 word=should,f=152
 word=similar,f=152
 word=usually,f=152
 word=west,f=152
 word=works,f=152
 word=wrote,f=152
 word=addition,f=151
 word=business,f=151
 word=character,f=151
 word=current,f=151
 word=currently,f=151
 word=developed,f=151
 word=does,f=151
 word=elected,f=151
 word=families,f=151
 word=field,f=151
 word=football,f=151
 word=further,f=151
 word=joined,f=151
 word=largest,f=151
 word=less,f=151
 word=live,f=151
 word=lost,f=151
 word=man,f=151
 word=modern,f=151
 word=once,f=151
 word=opened,f=151
 word=party,f=151
 word=playing,f=151
 word=recorded,f=151
 word=seen,f=151
 word=size,f=151
 word=story,f=151
 word=worked,f=151
 word=air,f=150
 word=away,f=150
 word=church,f=150
 word=design,f=150
 word=education,f=150
 word=either,f=150
 word=eventually,f=150
 word=free,f=150
 word=international,f=150
 word=meet,f=150
 word=OK,f=150
 word=originally,f=150
 word=release,f=150
 word=schools,f=150
 word=services,f=150
 word=sorry,f=150
 word=style,f=150
 word=sure,f=150
 word=taken,f=150
 word=throughout,f=150
 word=wife,f=150
 word=working,f=150
 word=above,f=149
 word=across,f=149
 word=announced,f=149
 word=described,f=149
 word=designed,f=149
 word=events,f=149
 word=featured,f=149
 word=features,f=149
 word=followed,f=149
 word=forces,f=149
 word=groups,f=149
 word=help,f=149
 word=how,f=149
 word=includes,f=149
 word=information,f=149
 word=lead,f=149
 word=median,f=149
 word=months,f=149
 word=office,f=149
 word=open,f=149
 word=photo,f=149
